Brand,Category,Notes,Country,Wiki,Image
Cubitts,Eyewear,Eyewear,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905469/Vocal4Local/Cubitts/mfk0tlg4jxyfu3zdbdjz.png
Cutler And Gross,Eyewear,Eyewear,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905470/Vocal4Local/CutlerAndGross/ahkbe91gorpsagafhxso.png
French Connection,Eyewear,Eyewear,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905472/Vocal4Local/FrenchConnection%28Clothing%29/jspptl7jyca73rgz0l9o.png
General Eyewear,Eyewear,Eyewear,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905474/Vocal4Local/GeneralEyewear/fyzmltxubxg5ackcemdf.jpg
Oliver Goldsmith,Eyewear,Eyewear,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905476/Vocal4Local/OliverGoldsmith%28Company%29/fea23ty13krx0nuuvnzx.png
Savile Row Eyewear,Eyewear,Eyewear,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905477/Vocal4Local/SavileRowEyewear/p8r9edzfjibut5hihz5m.png
Paul Smith,Eyewear,Eyewear,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905480/Vocal4Local/PaulSmith%28FashionDesigner%29/gpdm2idcfeumbkeltc5r.jpg
Ted Baker,Eyewear,Eyewear,United Kingdom,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905482/Vocal4Local/TedBaker/d73663z661awexdaiido.png
Companies Portal,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905483/Vocal4Local/CompaniesPortal/gujjyxsgfhp7ag2yoiqv.jpg
United States Portal,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905485/Vocal4Local/UnitedStatesPortal/vzywnpzm3dlhhhwmhuhg.png
Alexander Daas,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905487/Vocal4Local/AlexanderDaas/poznisi8cbr39awu2td3.png
Banana Republic,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905489/Vocal4Local/BananaRepublic/pwzcneucnjvvh2dp58jg.png
Bausch & Lomb,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905493/Vocal4Local/BauschLomb/ddgrmv4nug6ccdvc9ieb.png
Brooks Brothers,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905495/Vocal4Local/BrooksBrothers/gx2knkzg61rzqbbo3zmi.png
Calvin Klein,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905498/Vocal4Local/CalvinKlein%28Company%29/v9uajiruqbmokgq4emmj.png
Charming Charlie,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905499/Vocal4Local/CharmingCharlie/ibkv6l4cygu6fzriu9ta.png
Coach New York,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905501/Vocal4Local/CoachNewYork/nemmikzklo6filfqbsyn.png
Coco & Breezy,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905504/Vocal4Local/CocoBreezy/a1vriizhkaaaqh9xraem.jpg
Cole Haan,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905505/Vocal4Local/ColeHaan/wsgkim10kokh7esrx4ax.png
Columbia Sportswear,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905507/Vocal4Local/ColumbiaSportswear/rjgdtyycolfupk7hnzpu.jpg
Costa Del Mar,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905510/Vocal4Local/CostaDelMar/lg48my8orlyhmleohbbm.jpg
Dkny,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905512/Vocal4Local/Dkny/ibf4m3recmevrkmbsnjd.png
Epiphany Eyewear,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905514/Vocal4Local/EpiphanyEyewear/oh235ral4xcia718ama1.jpg
Fossil Group,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905516/Vocal4Local/FossilGroup/wq2hc8f2chomaq07y0xu.png
Foster Grant,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905518/Vocal4Local/FosterGrant/gbymlusrr2ge5bzeqa1w.png
Diane Von FÃ¼rstenberg,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905521/Vocal4Local/DianeVonF%C3%BCrstenberg/riburtmfff2xfc1tgngg.png
Google Glass,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905523/Vocal4Local/GoogleGlass/hbvmkxgumz4f71mzbee4.png
Gunnar Optiks,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905524/Vocal4Local/GunnarOptiks/ns508tvcptijr9hnnoff.png
The Hundreds,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905529/Vocal4Local/TheHundreds/odf5z38dcfph2cuuor6g.png
Island Company,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905531/Vocal4Local/IslandCompany/s7dtftuf9mu9xypraze6.jpg
J.Lo By Jennifer Lopez,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905533/Vocal4Local/JLoByJenniferLopez/pgnkgrphvbdisqakgm81.png
Juicy Couture,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905534/Vocal4Local/JuicyCouture/bj3r4udmh2nvvqw0c9oz.png
Kaenon Polarized,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905536/Vocal4Local/KaenonPolarized/nojyr6yhnqx3deuvxrsk.jpg
Kate Spade & Company,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905538/Vocal4Local/KateSpadeCompany/hzwgmejoo1yxgtvoc5or.jpg
Kate Spade New York,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905540/Vocal4Local/KateSpadeNewYork/byx71b0iticbmaxj8tng.jpg
Michael Kors,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905541/Vocal4Local/MichaelKors/wblw9c73qavcoz0sz6ow.png
L.E.I.,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905543/Vocal4Local/LEI/ieaofb3qziupv5aj2nxs.png
Marchon Eyewear,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905544/Vocal4Local/MarchonEyewear/zsgybbf5pivxg9m2ephh.png
Maui Jim,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905546/Vocal4Local/MauiJim/ln3ev3wxev8ztr17o3kl.png
Moscot,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905547/Vocal4Local/Moscot/oh8sl9rqmbvhp8cyhvkl.png
Nau,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905549/Vocal4Local/Nau%28ClothingRetailer%29/enfiiyzjs5wgddqb9mez.png
Nautica,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905550/Vocal4Local/Nautica%28ClothingCompany%29/okcbtobhimruaiepxujk.png
Nike Vision,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905552/Vocal4Local/NikeVision/gtqo4v4fdgirhhkbv9xn.png
Nine West,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905553/Vocal4Local/NineWest/eqkr8vgdecaxluoi5vdx.png
"Oakley, Inc.",Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905555/Vocal4Local/Oakley%2CInc/n3nhk1kwrjhbcic0usqc.png
Oliver Peoples,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905557/Vocal4Local/OliverPeoples/qdoygd7nf8o9vcyoyghw.jpg
Ralph Lauren Corporation,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905558/Vocal4Local/RalphLaurenCorporation/xht20duhzee90s5ru4hv.png
Randolph Engineering,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905560/Vocal4Local/RandolphEngineering/ao4hhz8nnnu5zsjtkmzg.png
Ray-Ban,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905562/Vocal4Local/RayBan/taoytyiipzwmlw3essfo.png
Revant Optics,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905563/Vocal4Local/RevantOptics/oadbvn9odq8m2mwyzgxm.png
Rocawear,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905564/Vocal4Local/Rocawear/lkdutestbjqakmncmbef.png
Sean John,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905566/Vocal4Local/SeanJohn/movfcvzdvukbahu5owvf.png
Serengeti Eyewear,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905568/Vocal4Local/SerengetiEyewear/ud6ysdvcednn7bud16qb.png
Shred Optics,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905569/Vocal4Local/ShredOptics/tfohhwh8jd0uattz7vy4.jpg
Shwood Eyewear,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905571/Vocal4Local/ShwoodEyewear/qvevudfckbkxsywuvxx1.png
Spectacles,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905572/Vocal4Local/Spectacles%28Product%29/dugjjecrhsnqv0uwth13.jpg
Anna Sui,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905574/Vocal4Local/AnnaSui/qmarrhdhxhdpamjyzuvu.png
Sunski,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905575/Vocal4Local/Sunski/a0m8nvs1jsin0shearpy.png
Tiffany & Co.,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905577/Vocal4Local/TiffanyCo/v2oa9acd8mp8iokxr1n7.jpg
Warby Parker,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905579/Vocal4Local/WarbyParker/wahjpgvnaxpohi2k4qet.jpg
Xoxo,Eyewear,Eyewear,United States,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593905581/Vocal4Local/Xoxo%28Brand%29/awaqr60rpbsvkgoga4du.png
Elle,Fashion,Fashion,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903152/Vocal4Local/Elle/hxcdjc1qu08kjr0kgo8v.png
Boltt,Fitness,Wearable technology,India,"Boltt is a global wearable technology company headquartered in Noida, India, is known for its advanced artificial intelligence (AI) ecosystem, providesÂ .",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593900887/Vocal4Local/Boltt/zckrn9eox2edvuhsvhom.png
Coca-Cola,flavored drink,Beverage,Non India,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594068132/Vocal4Local/CocaCola/luuacuvtmisj01mzu5ms.jpg
Pepsi,flavored drink,Beverage,Non India,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594068134/Vocal4Local/Pepsi/tyhptznjdjui67ohai1r.png
Frooti,flavored drink,Beverage,India,Frooti is the largest selling mango flavoured drink in India.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594068166/Vocal4Local/Frooti/fl7yrrgdkcvddajnoqyq.png
Zomato,Food Delivery,Search,India,Zomato is an Indian restaurant aggregator and food delivery start-up founded by Deepinder Goyal and Pankaj Chaddah in 2008.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593901685/Vocal4Local/Zomato/vzc0ooomumsshkqzarew.jpg
Fortune,food oil,Food Oil,India,"Fortune Brands was a holding company founded in 1969 as American Brands, renamed in 1997 and split apart in 2011.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594068143/Vocal4Local/Fortune/rekygug2voxzdzkv0e0y.png
Metro Shoes,Footwear,Footwear,India,Metro Shoes is multi-brand footwear retail chain in India.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593901386/Vocal4Local/MetroShoes/yiefoweuomxtlthmzljh.jpg
Nivia,Footwear,Footwear,India,"In 1962, Vijay Kharbanda joined his father in business and set up Nivia Sports.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902986/Vocal4Local/Nivia/tofdtotazukdhuiavu7k.png
Liberty Shoes,Footwear,Footwear,India,"Liberty Shoes Limited (LSL) is an Indian shoe company, based in Karnal, Haryana.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593901368/Vocal4Local/LibertyShoes/dxkck64hj727jkeixumc.jpg
Ms Shoes,Footwear,Footwear,India,MS Shoes East Ltd.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593901400/Vocal4Local/MsShoes/ybjt2sdrab48y6zb9ljc.jpg
Clarks,Footwear,Footwear,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903080/Vocal4Local/Clarks/erozdtbzx08rzkvw9edn.png
Bahamas,Footwear,Footwear,India,"There are over 160 company-owned Tommy Bahama retail stores worldwide, 18 of which include a Tommy Bahama restaurant and bar.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903081/Vocal4Local/Bahamas/mdtoygfkbgxpek0cklau.png
Flite,Footwear,Footwear,India,.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903085/Vocal4Local/Flite/ulm9ulllgbekoumfuzsw.jpg
Liberty,Footwear,Footwear,India,"Liberty Shoes Limited (LSL) is an Indian shoe company, based in Karnal, Haryana.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903088/Vocal4Local/Liberty/ltns9rjebkuexzazl1b3.jpg
Vans,Footwear,Footwear,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903093/Vocal4Local/Vans/i2ipnsnbwq5us2yzuncn.png
Converse,Footwear,Footwear,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903094/Vocal4Local/Converse/y9mahjisfmkek1uycy3d.jpg
Hush Puppies,Footwear,Footwear,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903096/Vocal4Local/HushPuppies/fvlv66yda7ck4sphb2sj.jpg
Asian,Footwear,Footwear,India,"Pages in category ""History of Asian clothing"". The following 91 pages are in this category, out of 91 total. This list may not reflect recent changes (learn more).",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903098/Vocal4Local/Asian/qosacurngofz5wj7lvtj.png
Bacca Bucci,Footwear,Footwear,India,"Bacca Bucci Fashions Pvt. Ltd. - is one of the fastest growing manufacturers, exporters and suppliers of Footwear for men and women.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903100/Vocal4Local/BaccaBucci/r82cmshfctruqmsa9pfk.jpg
Ruosh,Footwear,Footwear,India,Shop for your favorite footwear & accessories for men and women.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903101/Vocal4Local/Ruosh/qqwqmb5gi4b6irxshmva.png
Bond Street,Footwear,Footwear,India,Bond Street in the West End of London links Piccadilly in the south to Oxford Street in the north.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903102/Vocal4Local/BondStreet/thgssif4hicwheoztah8.jpg
Power,Footwear,Footwear,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903107/Vocal4Local/Power/mfckytt0hiremjstt1zf.jpg
Crocs,Footwear,Footwear,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903111/Vocal4Local/Crocs/eqhxfgrjqeqcv6ja8ld5.png
Metro,Footwear,Footwear,India,Metro Shoes is multi-brand footwear retail chain in India.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903113/Vocal4Local/Metro/hx9hiytopbgs6qehogdm.png
Catwalk,Footwear,Footwear,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903114/Vocal4Local/Catwalk/xok81qxne5ovkb4jf0tj.png
Scholl,Footwear,Footwear,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903116/Vocal4Local/Scholl/gkanwg4o0qkdchkiotm1.jpg
Tresmode,Footwear,Footwear,India,"Buy shoes and bags online from Tresmode. We bring you a wide range of shoes for both, men and women and an exclusive handbag collection only for women.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903118/Vocal4Local/Tresmode/r2t5z6woslc9fgg2oefp.png
New Balance,Footwear,Footwear,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903119/Vocal4Local/NewBalance/c7fxab4pijf4xtkejn1n.png
Mochi,Footwear,Footwear,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903121/Vocal4Local/Mochi/vopx7uwujmcsbyf7wd4w.png
Bubblegummers,Footwear,Footwear,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903129/Vocal4Local/Bubblegummers/dwgxecxtbfomfh6zmb9g.png
Action,Footwear,Footwear,India,Action Group is an industrial conglomerate and manufacturer of the Action Shoes brand. ,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903135/Vocal4Local/Action/nldbbdg561l3l3eysc1m.jpg
Aqualite,Footwear,Footwear,India,"Aqualite manufactures a wide range of footwear for men, women and kids.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903211/Vocal4Local/Aqualite/v0ttmywgc8eczxhz80g1.png
Timberland,Footwear,Footwear,Non India,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067878/Vocal4Local/Timberland/wpasyrkt34sihfs2f41x.png
Red Tape,Footwear,Footwear,India,"Red tape is an idiom referring to regulations or conformity to formal rules or standards which are claimed to be excessive, rigid or redundant, or to bureaucracyÂ .",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902849/Vocal4Local/RedTape/vxzkh0z7avgu1izw6maj.jpg
Adidas,Footwear,"Footwear, Clothing",Non India,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067863/Vocal4Local/Adidas/wdjav4vrh4bec76ol5r3.png
Reebok,Footwear,"Footwear, Clothing",Non India,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067867/Vocal4Local/Reebok/wgzigq2eajvpwud67h1s.png
Nike,Footwear,"Footwear, Clothing",Non India,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067869/Vocal4Local/Nike/c8ibsi5zppogyartckq6.jpg
Fila,Footwear,"Footwear, Clothing",Non India,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067871/Vocal4Local/Fila/hfvwmnyfe8tk5vfx6h8b.png
Woodland,Footwear,Footwear,Non India,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067873/Vocal4Local/Woodland/rmfcfzsymrmcee2hh73l.jpg
Bata,Footwear,Footwear,Non India,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067874/Vocal4Local/Bata/h8ntbagjlcopvfxppkhr.png
Sparkx,Footwear,Footwear,India,"Sparx can refer to: Sparx, the nickname of Sprx-77 in Super Robot Monkey Team Hyperforce Go! Sparx (Ace Lightning), a character from Ace Lightning; Sparx ( video game), a free online computer game; Sparx Animation Studios, a CGI animation studio; Sparx Systems, an Australian software companyÂ .",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067893/Vocal4Local/Sparkx/gxqj6p1bqttvtundjijk.png
Wrogn,Footwear,"Footwear, Clothing",India,"Headquartered in Bangalore, USPL's brand portfolio includes Wrogn, Imara and Ms.Taken. By Virat Kohli.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067895/Vocal4Local/Wrogn/k8luypyxesanwrh9fyzh.png
Campus,Footwear,Footwear,India,Action Group is an industrial conglomerate and manufacturer of the Action Shoes brand. ,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067896/Vocal4Local/Campus/smm7gdvmepu4ypvkbdxg.png
Relaxo,Footwear,Footwear,India,"Relaxo Footwears Limited is an Indian multinational footwear manufacturer based in New Delhi. It is the largest footwear manufacturer in India in terms of volume and second-largest in terms of revenue, with a market share of more than 5 percent.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067898/Vocal4Local/Relaxo/v6awijwmaztytzz7gan9.jpg
Roadster,Footwear,"Footwear, Clothing",India,Roadstar was a British rock band formed in 2002.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067900/Vocal4Local/Roadstar/opbmmicq2jlqqic7ymdv.png
Hrx,Footwear,Footwear,India,"Inspired by Hrithik Roshan's life that taught him, no matter how big an adversity, it can be overcome with perseverance, HRX was built in 2013 by Hrithik RoshanÂ .",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067901/Vocal4Local/Hrx/mrat8mpfzcn2fia8c7fp.png
Paragon,Footwear,Footwear,India,"Kerala, the southernmost tip of the country was home to the young brand.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067904/Vocal4Local/Paragon/asw8wiv5ecxv3fma57ti.png
Ajanta,Footwear,Footwear,India,"Ajanta Group is a diversified group of companies, active in textiles, transport, construction .",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067906/Vocal4Local/Ajanta/wgb75bur8ihmaj9gqkpa.png
Red Chief,Footwear,Footwear,India,The footwear range of Leayan Global Pvt.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067907/Vocal4Local/RedChief/ys4afcrntne8xgwdf6pd.png
Puma,"Footwear
","Footwear, Clothing",Non India,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067865/Vocal4Local/Puma/ggc0jkmmd2aeopd1note.png
Khadims,"Footwear
","Footwear
",India,Khadim India was incorporated in 1981 and through the next several years the Company was involved in wholesaling and distribution of branded basic utilityÂ .,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594067910/Vocal4Local/Khadims/vwcvvc165vasambttuun.jpg
Msi,Gaming,Laptop,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903203/Vocal4Local/Msi/y4kgivd6gennbvctorco.png
Lavie,Handbags,Handbags,India,Lavie established itself as one of the best handbag brands in India with its first bag collection that was showcased in 2010.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903136/Vocal4Local/Lavie/qc2vph5c05tn05plhc0f.jpg
Caprese,Handbags,Handbags,India,Caprese is another new brand which is imported and marketed in India by the reputed VIP Industries. Caprese was launched in 2012. The brand entered the market to fulfil the gap between high end luxury products and low priced inferior quality handbags. Caprese is marketed as a mid-premium category product.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903138/Vocal4Local/Caprese/wkbc10tk3fwt9vvhsnfi.jpg
Baggit,Handbags,Handbags,India,India Growth Story. Our home soil gave us the opportunity to seep in the roots of our business and prosper into the brand that we are today.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903139/Vocal4Local/Baggit/xffdqtw0etc3ysqt4ke4.png
Lino Perros,Handbags,Handbags,India,Lino Perros (Sumitsu Apparel),https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903141/Vocal4Local/LinoPerros/sh45hhdcca6vgspi8u0v.png
Accessorize London,Handbags,Handbags,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903142/Vocal4Local/AccessorizeLondon/nv0akn3c4lixonrsv3cg.png
Carlton London,Handbags,Handbags,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903143/Vocal4Local/CarltonLondon/oh43ziksxzj83xpfhsi4.jpg
Diana Korr,Handbags,Handbags,India,"laid its foundation in 2014 as a manufacturer and wholesaler. We crafted Diana Korr and Stella Ricci as our main brands to facilitate our consumer taste. Diana Korr has wide gamut of products including Ladies handbags, Tote Bags, Shopper Bags, Bucket Bags, Women's Wallets and many more.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903145/Vocal4Local/DianaKorr/np8wqaopufqw1h8hkqku.png
Hidesign,Handbags,Handbags,India,"Hidesign is a leather goods manufacturer based in Pondicherry, India.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903147/Vocal4Local/Hidesign/l6jqfyvjalzgzvx82prt.jpg
Holii,Handbags,Handbags,India,"Hidesign is a leather goods manufacturer based in Pondicherry, India.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903150/Vocal4Local/Holii/ljfqx7u8cmjhfnfdqlwn.png
Fostelo,Handbags,Handbags,India,Brand:FosteloSKU:FSB-416Type : HandbagMaterial:P.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903153/Vocal4Local/Fostelo/pfdm7kdah92bdh3ph2ng.png
Stella Ricci,Handbags,Handbags,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903155/Vocal4Local/StellaRicci/grdwr09majus40zvftqn.jpg
Kanvas Katha,Handbags,Handbags,India,.,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593903157/Vocal4Local/KanvasKatha/erao0hlqegdukzlfhqaz.png
Apollo Hospitals,Health Care Providers,Hospital chain,India,"Apollo Hospitals Enterprise Limited is an Indian hospital chain based in Chennai, India. It was founded by Dr. Prathap C.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593900835/Vocal4Local/ApolloHospitals/l6gg2dgsqyaxsrvdyw42.png
Fortis Healthcare,Health Care Providers,Hospitals,India,"Fortis Healthcare Limited (FHL) is a chain of hospitals, headquartered in India.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593901003/Vocal4Local/FortisHealthcare/gjjjmexmfsurrllcpelf.png
Reliance Health,Health Care Providers,Part of Reliance Group,India,"Reliance Health is a company in the Reliance Anil Dhirubhai Ambani Group, headed by the Indian businessman Anil Ambani.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593901495/Vocal4Local/RelianceHealth/k4oyoltji31ptefzbug9.jpg
Bpl Group,Healthcare,Consumer electronics,India,"British Physical Laboratories, doing business as BPL Ltd., is an Indian electronics company. It makes health care equipment.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593900889/Vocal4Local/BplGroup/cicsoakkqqbxg97wszgx.png
Anmol,Food Essentials,"Chips, Biscuits",India,"Anmol Industries Limited is a packaged food company, majorly focusing on biscuits, cakes and cookies.",https://res.cloudinary.com/hmvh5jw7x/image/upload/v1594068173/Vocal4Local/Anmol/bzfrga82hyb6t3frvfl2.png
Bosch,Home Appliances,Kitchenware,Non Indian,,https://res.cloudinary.com/hmvh5jw7x/image/upload/v1593902940/Vocal4Local/Bosch/ck52av3foaxo2bs0jpir.png
